"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TALO","Talos Energy, Inc.","17.56","950975286.08","n/a","2018","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/talo",
"FTI","TechnipFMC plc","19.7","8891045153.3","n/a","n/a","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/fti",
"TELL","Tellurian Inc.","6.54","1572942764.04","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tell",
"TGC","Tengasco, Inc.","0.9201","9789210.729","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tgc",
"TTI","Tetra Technologies, Inc.","1.7","213707710.6","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tti",
"TPL","Texas Pacific Land Trust","520.15","4043851039.1","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tpl",
"THR","Thermon Group Holdings, Inc.","20.8","677982988.8","n/a","2011","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/thr",
"TRCH","Torchlight Energy Resources, Inc.","0.628","44030572.128","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/trch",
"TOT","Total S.A.","54","141196286646","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tot",
"TPIC","TPI Composites, Inc.","24.3","838614627","n/a","2016","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/tpic",
"TAT","Transatlantic Petroleum Ltd","1.03","52123754.61","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tat",
"TGA","TransGlobe Energy Corporation","1.77","127803503.13","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tga",
"TLP","TransMontaigne Partners L.P.","40.86","663121965.78","n/a","2005","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/tlp",
"RIG","Transocean Ltd.","7.31","4456015969.48","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rig",
"TREC","Trecora Resources","7.85","192451141.65","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/trec",
"USEG","U.S. Energy Corp.","0.822","11061209.298","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/useg",
"USWS","U.S. Well Services, Inc.","7.54","487283289.74","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/usws",
"USWSW","U.S. Well Services, Inc.","0.6","0","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/uswsw",
"UPL","Ultra Petroleum Corp.","0.9264","182550439.2912","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/upl",
"UNT","Unit Corporation","17.15","927094974.4","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/unt",
"EGY","VAALCO Energy, Inc. ","1.38","82163651.64","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/egy",
